ASSESSID;TSYEAR;PT_AVAIL;SSB;R;TOTAL;F;CPUE;CATCH_LANDINGS
WGBFAS-CODKAT-1970-2006-MINTO;1992;6;9408;7753;11145;0.966;;6271
WGBFAS-CODKAT-1970-2006-MINTO;1993;6;9634;8904;13184;0.7316;;7013
WGBFAS-CODKAT-1970-2006-MINTO;1994;6;15112;17270;16401;0.7457;;7802
WGBFAS-CODKAT-1970-2006-MINTO;1995;6;12726;4229;14386;10.496;;8165
WGBFAS-CODKAT-1970-2006-MINTO;1996;6;6836;11622;10245;0.8268;;6126
WGBFAS-CODKAT-1970-2006-MINTO;1997;6;12273;8478;13899;10.812;;9461
WGBFAS-CODKAT-1970-2006-MINTO;1998;6;8069;7636;10088;11.114;;6835
WGBFAS-CODKAT-1970-2006-MINTO;1999;6;7537;4076;8947;11.072;;6608
WGBFAS-CODKAT-1970-2006-MINTO;2000;6;6013;2920;7025;1.095;;4897
WGBFAS-CODKAT-1970-2006-MINTO;2001;6;6276;4337;7209;1.565;;3960
WGBFAS-CODKAT-1970-2006-MINTO;2002;6;5054;1330;5724;13.133;;2470
WGBFAS-CODKAT-1970-2006-MINTO;2003;6;3500;8298;3952;0.7099;;2045
WGBFAS-CODKAT-1970-2006-MINTO;2004;6;3915;2912;4757;0.8911;;1402
WGBFAS-CODKAT-1970-2006-MINTO;2005;6;4782;7411;6376;0.9648;;1070
WGBFAS-CODKAT-1970-2006-MINTO;2006;6;6348;;7980;0.6977;;876
WGNSDS-CODIS-1968-2006-MINTO;1968;6;13444;6512;19351;0.9634;;8541
WGNSDS-CODIS-1968-2006-MINTO;1969;6;12241;8506;18040;11.365;;7991
WGNSDS-CODIS-1968-2006-MINTO;1970;6;9785;15131;17709;0.7005;;6426
WGNSDS-CODIS-1968-2006-MINTO;1971;6;11271;5239;23476;0.808;;9246
WGNSDS-CODIS-1968-2006-MINTO;1972;6;15873;13883;26393;0.6386;;9234
WGNSDS-CODIS-1968-2006-MINTO;1973;6;20227;3107;30044;0.7572;;11819
WGNSDS-CODIS-1968-2006-MINTO;1974;6;18121;11055;27155;0.6671;;10251
WGNSDS-CODIS-1968-2006-MINTO;1975;6;17886;3533;25060;0.7262;;9863
WGNSDS-CODIS-1968-2006-MINTO;1976;6;13647;5103;21465;0.7806;;10247
WGNSDS-CODIS-1968-2006-MINTO;1977;6;12673;5529;16614;0.8352;;8054
WGNSDS-CODIS-1968-2006-MINTO;1978;6;8662;12082;14188;0.6851;;6271
WGNSDS-CODIS-1968-2006-MINTO;1979;6;10426;14196;19638;0.723;;8371
WGNSDS-CODIS-1968-2006-MINTO;1980;6;12310;7923;26103;0.7836;;10776
WGNSDS-CODIS-1968-2006-MINTO;1981;6;18317;3461;29723;0.8062;;14907
WGNSDS-CODIS-1968-2006-MINTO;1982;6;20249;5264;27025;0.8981;;13381
WGNSDS-CODIS-1968-2006-MINTO;1983;6;15260;7879;21842;0.8471;;10015
WGNSDS-CODIS-1968-2006-MINTO;1984;6;11249;7922;18773;0.7999;;8383
WGNSDS-CODIS-1968-2006-MINTO;1985;6;12055;6350;21980;0.9532;;10483
WGNSDS-CODIS-1968-2006-MINTO;1986;6;12026;18442;20979;0.8823;;9852
WGNSDS-CODIS-1968-2006-MINTO;1987;6;12995;8743;28289;0.9503;;12894
WGNSDS-CODIS-1968-2006-MINTO;1988;6;13492;3803;26056;10.121;;14168
WGNSDS-CODIS-1968-2006-MINTO;1989;6;14300;4904;21061;13.086;;12751
WGNSDS-CODIS-1968-2006-MINTO;1990;6;8725;5648;14540;11.025;;7379
WGNSDS-CODIS-1968-2006-MINTO;1991;6;6531;8751;13177;10.541;;7095
WGNSDS-CODIS-1968-2006-MINTO;1992;6;7231;1709;15518;13.814;;7735
WGNSDS-CODIS-1968-2006-MINTO;1993;6;6295;5110;12376;14.055;;7555
WGNSDS-CODIS-1968-2006-MINTO;1994;6;5995;3699;10460;12.903;;5402
WGNSDS-CODIS-1968-2006-MINTO;1995;6;4575;3121;10439;10.964;;4587
WGNSDS-CODIS-1968-2006-MINTO;1996;6;5747;5790;10297;10.721;;4964
WGNSDS-CODIS-1968-2006-MINTO;1997;6;5614;2101;11793;14.643;;5859
WGNSDS-CODIS-1968-2006-MINTO;1998;6;4809;875;9882;13.388;;5318
WGNSDS-CODIS-1968-2006-MINTO;1999;6;4912;5643;6756;17.828;;4784
WGNSDS-CODIS-1968-2006-MINTO;2000;6;2025;3980;6602;16.301;;1274
WGNSDS-CODIS-1968-2006-MINTO;2001;6;3237;4611;10181;13.005;;2252
WGNSDS-CODIS-1968-2006-MINTO;2002;6;6197;1196;12146;15.797;;2695
WGNSDS-CODIS-1968-2006-MINTO;2003;6;4365;1952;8283;13.468;;1285
WGNSDS-CODIS-1968-2006-MINTO;2004;6;4022;1308;6686;12.701;;1072
WGNSDS-CODIS-1968-2006-MINTO;2005;6;2524;1597;4836;10.934;;910
WGNSDS-CODIS-1968-2006-MINTO;2006;6;2563;1080;4537;16.437;;838
WGNSDS-CODVIa-1977-2006-MINTO;1977;7;;21326,1;;;;
WGNSDS-CODVIa-1977-2006-MINTO;1978;7;26324,5;29204,7;40162,7;0.7072;;17201,3
WGNSDS-CODVIa-1977-2006-MINTO;1979;7;28683,4;32376,1;56866,3;0.9043;;16142,7
WGNSDS-CODVIa-1977-2006-MINTO;1980;7;32513,1;10971,6;57758,8;0.7502;;18874,7
WGNSDS-CODVIa-1977-2006-MINTO;1981;7;38214,9;25582,2;53105,9;0.7174;;24384,3
WGNSDS-CODVIa-1977-2006-MINTO;1982;7;37298,6;15141,5;54046,1;0.7708;;23164,7
WGNSDS-CODVIa-1977-2006-MINTO;1983;7;31939,9;23065,3;43826,2;0.8482;;23324,7
WGNSDS-CODVIa-1977-2006-MINTO;1984;7;29601,7;11606,1;47483,8;0.8944;;21907,1
WGNSDS-CODVIa-1977-2006-MINTO;1985;7;21745,3;18297,4;29556,3;0.9867;;27431,7
WGNSDS-CODVIa-1977-2006-MINTO;1986;7;18345,4;54850,9;28358,9;0.8163;;13019,9
WGNSDS-CODVIa-1977-2006-MINTO;1987;7;19566,7;5719,8;37875,3;0.9463;;27758,1
WGNSDS-CODVIa-1977-2006-MINTO;1988;7;23708;19044,4;36242,2;0.8899;;21546,2
WGNSDS-CODVIa-1977-2006-MINTO;1989;7;21207,1;6060,7;32306,5;0.9352;;19987,3
WGNSDS-CODVIa-1977-2006-MINTO;1990;7;17825,1;10455,5;24932,3;0.8049;;12489,6
WGNSDS-CODVIa-1977-2006-MINTO;1991;7;15381,9;15970,6;21915,3;0.8928;;11836,2
WGNSDS-CODVIa-1977-2006-MINTO;1992;7;12617,3;6555;20053,1;0.8726;;11988,6
WGNSDS-CODVIa-1977-2006-MINTO;1993;7;14542,8;13531,8;23070,8;0.8352;;10498,8
WGNSDS-CODVIa-1977-2006-MINTO;1994;7;14692,9;11181,8;24194,5;0.7399;;9114,2
WGNSDS-CODVIa-1977-2006-MINTO;1995;7;15490,6;4344,2;23888,5;0.7987;;9696,5
WGNSDS-CODVIa-1977-2006-MINTO;1996;7;16440,2;15300,5;22850,5;0.8373;;9512,7
WGNSDS-CODVIa-1977-2006-MINTO;1997;7;12850,6;7608,5;22093,5;0.85;;7387,2
WGNSDS-CODVIa-1977-2006-MINTO;1998;7;10997,1;4522,2;17476,9;0.864;;6131,4
WGNSDS-CODVIa-1977-2006-MINTO;1999;7;11127,2;9142,2;15741;0.8634;;4288,9
WGNSDS-CODVIa-1977-2006-MINTO;2000;7;9261,9;3033,9;14592,3;0.8273;;3582
WGNSDS-CODVIa-1977-2006-MINTO;2001;7;8395,2;7473,9;11756,6;0.8625;;2556,3
WGNSDS-CODVIa-1977-2006-MINTO;2002;7;7454,9;2007,4;12011,3;0.8677;;2408,9
WGNSDS-CODVIa-1977-2006-MINTO;2003;7;6162,5;3814,1;9041,5;0.8902;;1286,9
WGNSDS-CODVIa-1977-2006-MINTO;2004;7;5279,2;2983,9;7360,1;0.9134;;612
WGNSDS-CODVIa-1977-2006-MINTO;2005;7;4044,3;8556,5;6332,3;0.9484;;552
WGNSDS-CODVIa-1977-2006-MINTO;2006;7;3530,6;;6881,7;0.8892;;932,3
WGNSSK-CODNS-1962-2007-MINTO;1962;5;;228540;;;;
WGNSSK-CODNS-1962-2007-MINTO;1963;5;157257;399443;413071;0.534;;128686
WGNSSK-CODNS-1962-2007-MINTO;1964;5;158695;600416;482315;0.51;;130740
WGNSSK-CODNS-1962-2007-MINTO;1965;5;184554;708510;630354;0.611;;210237
WGNSSK-CODNS-1962-2007-MINTO;1966;5;213361;612282;759390;0.626;;259416
WGNSSK-CODNS-1962-2007-MINTO;1967;5;236547;262676;800508;0.636;;276387
WGNSSK-CODNS-1962-2007-MINTO;1968;5;242373;228850;718662;0.759;;305911
WGNSSK-CODNS-1962-2007-MINTO;1969;5;240302;930946;585188;0.587;;205510
WGNSSK-CODNS-1962-2007-MINTO;1970;5;249236;1407998;866955;0.671;;243867
WGNSSK-CODNS-1962-2007-MINTO;1971;5;252747;268139;1062013;0.841;;412264
WGNSSK-CODNS-1962-2007-MINTO;1972;5;230917;471632;780669;0.886;;387737
WGNSSK-CODNS-1962-2007-MINTO;1973;5;195341;470719;617157;0.857;;269139
WGNSSK-CODNS-1962-2007-MINTO;1974;5;224052;876154;596439;0.76;;253989
WGNSSK-CODNS-1962-2007-MINTO;1975;5;202909;675946;654859;0.803;;242349
WGNSSK-CODNS-1962-2007-MINTO;1976;5;172324;1668615;593758;1.013;;307102
WGNSSK-CODNS-1962-2007-MINTO;1977;5;155895;528504;854151;0.894;;349038
WGNSSK-CODNS-1962-2007-MINTO;1978;5;144003;1350162;737068;1.015;;328585
WGNSSK-CODNS-1962-2007-MINTO;1979;5;149493;2566638;880983;0.81;;430688
WGNSSK-CODNS-1962-2007-MINTO;1980;5;170284;544678;1159434;0.928;;590678
WGNSSK-CODNS-1962-2007-MINTO;1981;5;181697;883780;785346;0.97;;393451
WGNSSK-CODNS-1962-2007-MINTO;1982;5;176435;425491;771573;1.068;;359372
WGNSSK-CODNS-1962-2007-MINTO;1983;5;142449;1409447;596833;1.092;;281696
WGNSSK-CODNS-1962-2007-MINTO;1984;5;125187;256979;779630;0.975;;379974
WGNSSK-CODNS-1962-2007-MINTO;1985;5;118027;1626329;478359;0.974;;247031
WGNSSK-CODNS-1962-2007-MINTO;1986;5;109156;354530;732363;1.019;;341047
WGNSSK-CODNS-1962-2007-MINTO;1987;5;101932;236220;540578;1.007;;244809
WGNSSK-CODNS-1962-2007-MINTO;1988;5;92695;641944;410917;1.058;;194798
WGNSSK-CODNS-1962-2007-MINTO;1989;5;87467;204371;459317;1.031;;202639
WGNSSK-CODNS-1962-2007-MINTO;1990;5;75954;270410;311267;1.046;;153021
WGNSSK-CODNS-1962-2007-MINTO;1991;5;72173;585735;290224;0.887;;121204
WGNSSK-CODNS-1962-2007-MINTO;1992;5;72222;275172;430043;0.832;;151755
WGNSSK-CODNS-1962-2007-MINTO;1993;5;74645;1035248;367341;1.08;;178447
WGNSSK-CODNS-1962-2007-MINTO;1994;5;70530;457388;534321;0.802;;212460
WGNSSK-CODNS-1962-2007-MINTO;1995;5;90757;259189;539814;1.03;;233656
WGNSSK-CODNS-1962-2007-MINTO;1996;5;96414;840465;431677;1.087;;204140
WGNSSK-CODNS-1962-2007-MINTO;1997;5;84646;110224;559737;0.947;;175474
WGNSSK-CODNS-1962-2007-MINTO;1998;5;72177;202799;345744;1.096;;185388
WGNSSK-CODNS-1962-2007-MINTO;1999;5;67860;359295;246784;1.272;;138560
WGNSSK-CODNS-1962-2007-MINTO;2000;5;45517;105635;253098;1.174;;94982
WGNSSK-CODNS-1962-2007-MINTO;2001;5;35398;196850;180218;0.882;;76935
WGNSSK-CODNS-1962-2007-MINTO;2002;5;42759;92257;223504;0.874;;82218
WGNSSK-CODNS-1962-2007-MINTO;2003;5;39914;134210;148999;1.037;;77322
WGNSSK-CODNS-1962-2007-MINTO;2004;5;35987;111368;129581;1.021;;54385
WGNSSK-CODNS-1962-2007-MINTO;2005;5;31432;332785;129845;0.873;;52502
WGNSSK-CODNS-1962-2007-MINTO;2006;5;28481;;156429;0.63;;43856
WGNSSK-CODNS-1962-2007-MINTO;2007;5;37193;;;;;
