SPECIES	COUNTRIES	STOCK	DEVELOPMENT	TAC	PROPERTY.RIGHTS	CO.MANAGEMENT
European hake	FI	HAKENRTN	NA	0.977	0.662698413	NA
European hake	FI	HAKESOTH	0.677083333	0.977	0.662698413	NA
European hake	FI	HAKESOTH	NA	0.977	0.662698413	NA
Atlantic cod	FI	CODBA2532	0.677083333	0.901	NA	NA
Atlantic cod	FI	CODBA2532	NA	0.901	NA	NA
Atlantic cod	FI	CODCOASTNOR_CODNEAR	0.677083333	0.901	NA	NA
Atlantic cod	FI	CODCOASTNOR_CODNEAR	NA	0.901	NA	NA
Atlantic cod	FI	CODFAPL	0.677083333	0.901	NA	NA
Atlantic cod	FI	CODFAPL	NA	0.901	NA	NA
Atlantic cod	FI	CODICE	0.677083333	0.901	NA	NA
Atlantic cod	FI	CODICE	NA	0.901	NA	NA
Atlantic cod	FI	CODIS	0.677083333	0.901	NA	NA
Atlantic cod	FI	CODIS	NA	0.901	NA	NA
Atlantic cod	FI	CODKAT_CODNS	0.677083333	0.901	NA	NA
Atlantic cod	FI	CODKAT_CODNS	NA	0.901	NA	NA
Atlantic cod	FI	CODVIa	0.677083333	0.901	NA	NA
Atlantic cod	FI	CODVIa	NA	0.901	NA	NA
European hake	FI	HAKENRTN	0.677083333	0.977	NA	NA
European hake	FI	HAKENRTN	NA	0.977	NA	NA
European hake	FI	HAKESOTH	0.677083333	0.977	NA	NA
European hake	FI	HAKESOTH	NA	0.977	NA	NA
Atlantic cod	FR	CODBA2532	0.697916667	0.861	0.46031746	0.512820513
Atlantic cod	FR	CODCOASTNOR_CODNEAR	0.697916667	0.861	0.46031746	0.512820513
Atlantic cod	FR	CODFAPL	0.697916667	0.861	0.46031746	0.512820513
Atlantic cod	FR	CODICE	0.697916667	0.861	0.46031746	0.512820513
Atlantic cod	FR	CODIS	0.697916667	0.861	0.46031746	0.512820513
Atlantic cod	FR	CODKAT_CODNS	0.697916667	0.861	0.46031746	0.512820513
Atlantic cod	FR	CODVIa	0.697916667	0.861	0.46031746	0.512820513
European hake	FR	HAKENRTN	0.697916667	0.93	0.46031746	0.512820513
European hake	FR	HAKESOTH	0.697916667	0.93	0.46031746	0.512820513
Atlantic cod	IE	CODBA2532	0.96875	0.917	0.714285714	0.102564103
Atlantic cod	IE	CODBA2532	NA	0.917	0.714285714	0.102564103
Atlantic cod	IE	CODCOASTNOR_CODNEAR	0.96875	0.917	0.714285714	0.102564103
Atlantic cod	IE	CODCOASTNOR_CODNEAR	NA	0.917	0.714285714	0.102564103
Atlantic cod	IE	CODFAPL	0.96875	0.917	0.714285714	0.102564103
Atlantic cod	IE	CODFAPL	NA	0.917	0.714285714	0.102564103
Atlantic cod	IE	CODICE	0.96875	0.917	0.714285714	0.102564103
Atlantic cod	IE	CODICE	NA	0.917	0.714285714	0.102564103
Atlantic cod	IE	CODIS	0.96875	0.917	0.714285714	0.102564103
Atlantic cod	IE	CODIS	NA	0.917	0.714285714	0.102564103
Atlantic cod	IE	CODKAT_CODNS	0.96875	0.917	0.714285714	0.102564103
Atlantic cod	IE	CODKAT_CODNS	NA	0.917	0.714285714	0.102564103
Atlantic cod	IE	CODVIa	0.96875	0.917	0.714285714	0.102564103
Atlantic cod	IE	CODVIa	NA	0.917	0.714285714	0.102564103
European hake	IE	HAKENRTN	0.96875	0.97	0.714285714	0.102564103
European hake	IE	HAKENRTN	NA	0.97	0.714285714	0.102564103
European hake	IE	HAKESOTH	0.96875	0.97	0.714285714	0.102564103
European hake	IE	HAKESOTH	NA	0.97	0.714285714	0.102564103
