SPECIES	COUNTRIES	STOCK	DEVELOPMENT	TAC	PROPERTY.RIGHTS	CO.MANAGEMENT
Atlantic cod	IE	CODIS	NA	0.917	NA	NA
Atlantic cod	IE	CODKAT_CODNS	0.96875	0.917	NA	NA
Atlantic cod	IE	CODKAT_CODNS	NA	0.917	NA	NA
Atlantic cod	IE	CODVIa	0.96875	0.917	NA	NA
Atlantic cod	IE	CODVIa	NA	0.917	NA	NA
European hake	IE	HAKENRTN	0.96875	0.97	NA	NA
European hake	IE	HAKENRTN	NA	0.97	NA	NA
European hake	IE	HAKESOTH	0.96875	0.97	NA	NA
European hake	IE	HAKESOTH	NA	0.97	NA	NA
Atlantic cod	LV	CODBA2532	0	0.824	0.662698413	NA
Atlantic cod	LV	CODBA2532	NA	0.824	0.662698413	NA
Atlantic cod	LV	CODCOASTNOR_CODNEAR	0	0.824	0.662698413	NA
Atlantic cod	LV	CODCOASTNOR_CODNEAR	NA	0.824	0.662698413	NA
Atlantic cod	LV	CODFAPL	0	0.824	0.662698413	NA
Atlantic cod	LV	CODFAPL	NA	0.824	0.662698413	NA
Atlantic cod	LV	CODICE	0	0.824	0.662698413	NA
Atlantic cod	LV	CODICE	NA	0.824	0.662698413	NA
Atlantic cod	LV	CODIS	0	0.824	0.662698413	NA
Atlantic cod	LV	CODIS	NA	0.824	0.662698413	NA
Atlantic cod	LV	CODKAT_CODNS	0	0.824	0.662698413	NA
Atlantic cod	LV	CODKAT_CODNS	NA	0.824	0.662698413	NA
Atlantic cod	LV	CODVIa	0	0.824	0.662698413	NA
Atlantic cod	LV	CODVIa	NA	0.824	0.662698413	NA
European hake	LV	HAKENRTN	0	0.977	0.662698413	NA
European hake	LV	HAKENRTN	NA	0.977	0.662698413	NA
European hake	LV	HAKESOTH	0	0.977	0.662698413	NA
European hake	LV	HAKESOTH	NA	0.977	0.662698413	NA
Atlantic cod	LV	CODBA2532	0	0.824	NA	NA
Atlantic cod	LV	CODBA2532	NA	0.824	NA	NA
Atlantic cod	LV	CODCOASTNOR_CODNEAR	0	0.824	NA	NA
Atlantic cod	LV	CODCOASTNOR_CODNEAR	NA	0.824	NA	NA
Atlantic cod	LV	CODFAPL	0	0.824	NA	NA
Atlantic cod	LV	CODFAPL	NA	0.824	NA	NA
Atlantic cod	LV	CODICE	0	0.824	NA	NA
Atlantic cod	LV	CODICE	NA	0.824	NA	NA
Atlantic cod	LV	CODIS	0	0.824	NA	NA
Atlantic cod	LV	CODIS	NA	0.824	NA	NA
Atlantic cod	LV	CODKAT_CODNS	0	0.824	NA	NA
Atlantic cod	LV	CODKAT_CODNS	NA	0.824	NA	NA
Atlantic cod	LV	CODVIa	0	0.824	NA	NA
Atlantic cod	LV	CODVIa	NA	0.824	NA	NA
European hake	LV	HAKENRTN	0	0.977	NA	NA
European hake	LV	HAKENRTN	NA	0.977	NA	NA
European hake	LV	HAKESOTH	0	0.977	NA	NA
European hake	LV	HAKESOTH	NA	0.977	NA	NA
Atlantic cod	LT	CODBA2532	0.1875	0.874	0.666666667	NA
Atlantic cod	LT	CODBA2532	NA	0.874	0.666666667	NA
Atlantic cod	LT	CODCOASTNOR_CODNEAR	0.1875	0.874	0.666666667	NA
Atlantic cod	LT	CODCOASTNOR_CODNEAR	NA	0.874	0.666666667	NA
Atlantic cod	LT	CODFAPL	0.1875	0.874	0.666666667	NA
Atlantic cod	LT	CODFAPL	NA	0.874	0.666666667	NA
Atlantic cod	LT	CODICE	0.1875	0.874	0.666666667	NA
Atlantic cod	LT	CODICE	NA	0.874	0.666666667	NA
Atlantic cod	LT	CODIS	0.1875	0.874	0.666666667	NA
Atlantic cod	LT	CODIS	NA	0.874	0.666666667	NA
Atlantic cod	LT	CODKAT_CODNS	0.1875	0.874	0.666666667	NA
Atlantic cod	LT	CODKAT_CODNS	NA	0.874	0.666666667	NA
Atlantic cod	LT	CODVIa	0.1875	0.874	0.666666667	NA
Atlantic cod	LT	CODVIa	NA	0.874	0.666666667	NA
European hake	LT	HAKENRTN	0.1875	0.977	0.666666667	NA
European hake	LT	HAKENRTN	NA	0.977	0.666666667	NA
European hake	LT	HAKESOTH	0.1875	0.977	0.666666667	NA
European hake	LT	HAKESOTH	NA	0.977	0.666666667	NA
Atlantic cod	LT	CODBA2532	0.1875	0.874	NA	NA
Atlantic cod	LT	CODBA2532	NA	0.874	NA	NA
Atlantic cod	LT	CODCOASTNOR_CODNEAR	0.1875	0.874	NA	NA
Atlantic cod	LT	CODCOASTNOR_CODNEAR	NA	0.874	NA	NA
Atlantic cod	LT	CODFAPL	0.1875	0.874	NA	NA
Atlantic cod	LT	CODFAPL	NA	0.874	NA	NA
Atlantic cod	LT	CODICE	0.1875	0.874	NA	NA
Atlantic cod	LT	CODICE	NA	0.874	NA	NA
Atlantic cod	LT	CODIS	0.1875	0.874	NA	NA
Atlantic cod	LT	CODIS	NA	0.874	NA	NA
Atlantic cod	LT	CODKAT_CODNS	0.1875	0.874	NA	NA
Atlantic cod	LT	CODKAT_CODNS	NA	0.874	NA	NA
Atlantic cod	LT	CODVIa	0.1875	0.874	NA	NA
Atlantic cod	LT	CODVIa	NA	0.874	NA	NA
European hake	LT	HAKENRTN	0.1875	0.977	NA	NA
European hake	LT	HAKENRTN	NA	0.977	NA	NA
European hake	LT	HAKESOTH	0.1875	0.977	NA	NA
European hake	LT	HAKESOTH	NA	0.977	NA	NA
Atlantic cod	NL	CODBA2532	0.979166667	0.912	0.742063492	NA
Atlantic cod	NL	CODBA2532	NA	0.912	0.742063492	NA
Atlantic cod	NL	CODCOASTNOR_CODNEAR	0.979166667	0.912	0.742063492	NA
Atlantic cod	NL	CODCOASTNOR_CODNEAR	NA	0.912	0.742063492	NA
Atlantic cod	NL	CODFAPL	0.979166667	0.912	0.742063492	NA
Atlantic cod	NL	CODFAPL	NA	0.912	0.742063492	NA
Atlantic cod	NL	CODICE	0.979166667	0.912	0.742063492	NA
Atlantic cod	NL	CODICE	NA	0.912	0.742063492	NA
Atlantic cod	NL	CODIS	0.979166667	0.912	0.742063492	NA
Atlantic cod	NL	CODIS	NA	0.912	0.742063492	NA
Atlantic cod	NL	CODKAT_CODNS	0.979166667	0.912	0.742063492	NA
Atlantic cod	NL	CODKAT_CODNS	NA	0.912	0.742063492	NA
Atlantic cod	NL	CODVIa	0.979166667	0.912	0.742063492	NA
Atlantic cod	NL	CODVIa	NA	0.912	0.742063492	NA
European hake	NL	HAKENRTN	0.979166667	0.976	0.742063492	NA
European hake	NL	HAKENRTN	NA	0.976	0.742063492	NA
European hake	NL	HAKESOTH	0.979166667	0.976	0.742063492	NA
European hake	NL	HAKESOTH	NA	0.976	0.742063492	NA
Atlantic cod	NL	CODBA2532	0.979166667	0.912	NA	NA
Atlantic cod	NL	CODBA2532	NA	0.912	NA	NA
Atlantic cod	NL	CODCOASTNOR_CODNEAR	0.979166667	0.912	NA	NA
Atlantic cod	NL	CODCOASTNOR_CODNEAR	NA	0.912	NA	NA
Atlantic cod	NL	CODFAPL	0.979166667	0.912	NA	NA
Atlantic cod	NL	CODFAPL	NA	0.912	NA	NA
Atlantic cod	NL	CODICE	0.979166667	0.912	NA	NA
Atlantic cod	NL	CODICE	NA	0.912	NA	NA
Atlantic cod	NL	CODIS	0.979166667	0.912	NA	NA
Atlantic cod	NL	CODIS	NA	0.912	NA	NA
Atlantic cod	NL	CODKAT_CODNS	0.979166667	0.912	NA	NA
Atlantic cod	NL	CODKAT_CODNS	NA	0.912	NA	NA
Atlantic cod	NL	CODVIa	0.979166667	0.912	NA	NA
Atlantic cod	NL	CODVIa	NA	0.912	NA	NA
European hake	NL	HAKENRTN	0.979166667	0.976	NA	NA
European hake	NL	HAKENRTN	NA	0.976	NA	NA
European hake	NL	HAKESOTH	0.979166667	0.976	NA	NA
European hake	NL	HAKESOTH	NA	0.976	NA	NA
Atlantic cod	PL	CODBA2532	0.260416667	0.664	0.686507937	NA
Atlantic cod	PL	CODBA2532	NA	0.664	0.686507937	NA
Atlantic cod	PL	CODCOASTNOR_CODNEAR	0.260416667	0.664	0.686507937	NA
Atlantic cod	PL	CODCOASTNOR_CODNEAR	NA	0.664	0.686507937	NA
Atlantic cod	PL	CODFAPL	0.260416667	0.664	0.686507937	NA
Atlantic cod	PL	CODFAPL	NA	0.664	0.686507937	NA
Atlantic cod	PL	CODICE	0.260416667	0.664	0.686507937	NA
Atlantic cod	PL	CODICE	NA	0.664	0.686507937	NA
Atlantic cod	PL	CODIS	0.260416667	0.664	0.686507937	NA
Atlantic cod	PL	CODIS	NA	0.664	0.686507937	NA
Atlantic cod	PL	CODKAT_CODNS	0.260416667	0.664	0.686507937	NA
Atlantic cod	PL	CODKAT_CODNS	NA	0.664	0.686507937	NA
Atlantic cod	PL	CODVIa	0.260416667	0.664	0.686507937	NA
Atlantic cod	PL	CODVIa	NA	0.664	0.686507937	NA
European hake	PL	HAKENRTN	0.260416667	0.977	0.686507937	NA
European hake	PL	HAKENRTN	NA	0.977	0.686507937	NA
European hake	PL	HAKESOTH	0.260416667	0.977	0.686507937	NA
European hake	PL	HAKESOTH	NA	0.977	0.686507937	NA
Atlantic cod	PL	CODBA2532	0.260416667	0.664	NA	NA
Atlantic cod	PL	CODBA2532	NA	0.664	NA	NA
Atlantic cod	PL	CODCOASTNOR_CODNEAR	0.260416667	0.664	NA	NA
Atlantic cod	PL	CODCOASTNOR_CODNEAR	NA	0.664	NA	NA
Atlantic cod	PL	CODFAPL	0.260416667	0.664	NA	NA
Atlantic cod	PL	CODFAPL	NA	0.664	NA	NA
Atlantic cod	PL	CODICE	0.260416667	0.664	NA	NA
Atlantic cod	PL	CODICE	NA	0.664	NA	NA
Atlantic cod	PL	CODIS	0.260416667	0.664	NA	NA
Atlantic cod	PL	CODIS	NA	0.664	NA	NA
Atlantic cod	PL	CODKAT_CODNS	0.260416667	0.664	NA	NA
Atlantic cod	PL	CODKAT_CODNS	NA	0.664	NA	NA
Atlantic cod	PL	CODVIa	0.260416667	0.664	NA	NA
Atlantic cod	PL	CODVIa	NA	0.664	NA	NA
European hake	PL	HAKENRTN	0.260416667	0.977	NA	NA
European hake	PL	HAKENRTN	NA	0.977	NA	NA
European hake	PL	HAKESOTH	0.260416667	0.977	NA	NA
European hake	PL	HAKESOTH	NA	0.977	NA	NA
