SPECIES;COUNTRIES;STOCK;ADAPTIVE.MNG;CATCH.DEP;FLEET.MOBILITY;GEAR.DIVERSITY
Atlantic cod;ES;CODVIa;0,5236;NA;0,2706;1
European hake;ES;HAKENRTN;0,5236;0,8111;0,2706;0
European hake;ES;HAKESOTH;0,5236;0,8389;0,2706;0
Atlantic cod;FI;CODBA2532;0,0225;0,6869;NA;1
Atlantic cod;FI;CODCOASTNOR_CODNEAR;0,0225;NA;NA;1
Atlantic cod;FI;CODFAPL;0,0225;NA;NA;1
Atlantic cod;FI;CODICE;0,0225;NA;NA;1
Atlantic cod;FI;CODIS;0,0225;NA;NA;1
Atlantic cod;FI;CODKAT;0,0225;NA;NA;1
Atlantic cod;FI;CODNS;0,0225;NA;NA;1
Atlantic cod;FI;CODVIa;0,0225;NA;NA;1
Atlantic cod;FR;CODBA2532;0,2289;NA;1;1
Atlantic cod;FR;CODCOASTNOR_CODNEAR;0,2289;0,7077;1;1
Atlantic cod;FR;CODFAPL;0,2289;NA;1;1
Atlantic cod;FR;CODICE;0,2289;NA;1;1
Atlantic cod;FR;CODIS;0,2289;0,9989;1;1
Atlantic cod;FR;CODKAT;0,2289;0,9999;1;1
Atlantic cod;FR;CODNS;0,2289;0,9998;1;1
Atlantic cod;FR;CODVIa;0,2289;0,9897;1;1
European hake;FR;HAKENRTN;0,2289;0,6665;1;0
European hake;FR;HAKESOTH;0,2289;0,9866;1;0
Atlantic cod;IE;CODBA2532;0,0652;NA;NA;1
Atlantic cod;IE;CODCOASTNOR_CODNEAR;0,0652;0,9224;NA;1
Atlantic cod;IE;CODFAPL;0,0652;NA;NA;1
Atlantic cod;IE;CODICE;0,0652;NA;NA;1
Atlantic cod;IE;CODIS;0,0652;0,8102;NA;1
Atlantic cod;IE;CODKAT;0,0652;NA;NA;1
Atlantic cod;IE;CODNS;0,0652;NA;NA;1
Atlantic cod;IE;CODVIa;0,0652;0,9802;NA;1
Atlantic cod;LT;CODBA2532;0,0093;0,6923;0,1549;1
Atlantic cod;LT;CODCOASTNOR_CODNEAR;0,0093;NA;0,1549;1
Atlantic cod;LT;CODFAPL;0,0093;NA;0,1549;1
Atlantic cod;LT;CODICE;0,0093;NA;0,1549;1
Atlantic cod;LT;CODIS;0,0093;NA;0,1549;1
Atlantic cod;LT;CODKAT;0,0093;NA;0,1549;1
Atlantic cod;LT;CODNS;0,0093;NA;0,1549;1
Atlantic cod;LT;CODVIa;0,0093;NA;0,1549;1
Atlantic cod;LV;CODBA2532;0,0387;0,6965;0,3572;1
Atlantic cod;LV;CODCOASTNOR_CODNEAR;0,0387;NA;0,3572;1
Atlantic cod;LV;CODFAPL;0,0387;NA;0,3572;1
Atlantic cod;LV;CODICE;0,0387;NA;0,3572;1
Atlantic cod;LV;CODIS;0,0387;NA;0,3572;1
Atlantic cod;LV;CODKAT;0,0387;NA;0,3572;1
Atlantic cod;LV;CODNS;0,0387;NA;0,3572;1
Atlantic cod;LV;CODVIa;0,0387;NA;0,3572;1
Atlantic cod;NL;CODBA2532;0,1687;NA;0,1286;1
Atlantic cod;NL;CODCOASTNOR_CODNEAR;0,1687;NA;0,1286;1
Atlantic cod;NL;CODFAPL;0,1687;NA;0,1286;1
Atlantic cod;NL;CODICE;0,1687;NA;0,1286;1
Atlantic cod;NL;CODIS;0,1687;NA;0,1286;1
Atlantic cod;NL;CODKAT;0,1687;0,9958;0,1286;1
Atlantic cod;NL;CODNS;0,1687;NA;0,1286;1
Atlantic cod;NL;CODVIa;0,1687;NA;0,1286;1
Atlantic cod;PL;CODBA2532;0,5064;0,2769;0,1412;1
Atlantic cod;PL;CODCOASTNOR_CODNEAR;0,5064;0,8308;0,1412;1
Atlantic cod;PL;CODFAPL;0,5064;NA;0,1412;1
Atlantic cod;PL;CODICE;0,5064;NA;0,1412;1
Atlantic cod;PL;CODIS;0,5064;NA;0,1412;1
Atlantic cod;PL;CODKAT;0,5064;NA;0,1412;1
Atlantic cod;PL;CODNS;0,5064;NA;0,1412;1
Atlantic cod;PL;CODVIa;0,5064;NA;0,1412;1
Atlantic cod;PT;CODBA2532;0,1081;NA;0,2241;1
Atlantic cod;PT;CODCOASTNOR_CODNEAR;0,1081;0,3508;0,2241;1
Atlantic cod;PT;CODFAPL;0,1081;NA;0,2241;1
Atlantic cod;PT;CODICE;0,1081;NA;0,2241;1
Atlantic cod;PT;CODIS;0,1081;NA;0,2241;1
Atlantic cod;PT;CODKAT;0,1081;0,9487;0,2241;1
Atlantic cod;PT;CODNS;0,1081;NA;0,2241;1
Atlantic cod;PT;CODVIa;0,1081;NA;0,2241;1
