ASSESSID;STOCKID;STOCKLONG;TSYEAR;SSB;Fm;SSBLIM;FLIM;SSB/SSBLIM;F/FLIM
WGBIE-HAKENRTN-1978-2018-ICESIMP2018;HAKENRTN;Hake ICES 3a-4-6-7-8abd;2013;2.52E+05;2.40E-01;32000;0.87;7.88;0.28
WGBIE-HAKENRTN-1978-2018-ICESIMP2018;HAKENRTN;Hake ICES 3a-4-6-7-8abd;2014;2.71E+05;2.30E-01;32000;0.87;8.47;0.26
WGBIE-HAKENRTN-1978-2018-ICESIMP2018;HAKENRTN;Hake ICES 3a-4-6-7-8abd;2015;3.15E+05;2.20E-01;32000;0.87;9.84;0.25
WGBIE-HAKENRTN-1978-2018-ICESIMP2018;HAKENRTN;Hake ICES 3a-4-6-7-8abd;2016;3.47E+05;2.30E-01;32000;0.87;10.84;0.26
WGBIE-HAKENRTN-1978-2018-ICESIMP2018;HAKENRTN;Hake ICES 3a-4-6-7-8abd;2017;3.25E+05;2.50E-01;32000;0.87;10.16;0.29
WGBIE-HAKENRTN-1978-2018-ICESIMP2018;HAKENRTN;Hake ICES 3a-4-6-7-8abd;2018;3.07E+05;;32000;0.87;9.59;0
WGBIE-HAKESOTH-1982-2018-ICESIMP2018;HAKESOTH;Hake ICES 8c-9a;1982;4.11E+04;3.60E-01;8000;1.05;5.14;0.34
WGBIE-HAKESOTH-1982-2018-ICESIMP2018;HAKESOTH;Hake ICES 8c-9a;1983;4.58E+04;4.42E-01;8000;1.05;5.73;0.42
WGBIE-HAKESOTH-1982-2018-ICESIMP2018;HAKESOTH;Hake ICES 8c-9a;1984;4.30E+04;4.50E-01;8000;1.05;5.38;0.43
WGBIE-HAKESOTH-1982-2018-ICESIMP2018;HAKESOTH;Hake ICES 8c-9a;1985;4.31E+04;4.19E-01;8000;1.05;5.39;0.4
WGBIE-HAKESOTH-1982-2018-ICESIMP2018;HAKESOTH;Hake ICES 8c-9a;1986;4.00E+04;4.45E-01;8000;1.05;5;0.42
WGBIE-HAKESOTH-1982-2018-ICESIMP2018;HAKESOTH;Hake ICES 8c-9a;1987;3.68E+04;5.09E-01;8000;1.05;4.6;0.48
WGBIE-HAKESOTH-1982-2018-ICESIMP2018;HAKESOTH;Hake ICES 8c-9a;1988;2.70E+04;6.53E-01;8000;1.05;3.38;0.62
WGBIE-HAKESOTH-1982-2018-ICESIMP2018;HAKESOTH;Hake ICES 8c-9a;1989;1.99E+04;6.50E-01;8000;1.05;2.49;0.62
WGBIE-HAKESOTH-1982-2018-ICESIMP2018;HAKESOTH;Hake ICES 8c-9a;1990;1.63E+04;6.95E-01;8000;1.05;2.04;0.66
WGBIE-HAKESOTH-1982-2018-ICESIMP2018;HAKESOTH;Hake ICES 8c-9a;1991;1.65E+04;6.89E-01;8000;1.05;2.06;0.66
WGBIE-HAKESOTH-1982-2018-ICESIMP2018;HAKESOTH;Hake ICES 8c-9a;1992;1.55E+04;8.41E-01;8000;1.05;1.94;0.8
WGBIE-HAKESOTH-1982-2018-ICESIMP2018;HAKESOTH;Hake ICES 8c-9a;1993;1.28E+04;9.08E-01;8000;1.05;1.6;0.86
WGBIE-HAKESOTH-1982-2018-ICESIMP2018;HAKESOTH;Hake ICES 8c-9a;1994;8.88E+03;8.94E-01;8000;1.05;1.11;0.85
WGBIE-HAKESOTH-1982-2018-ICESIMP2018;HAKESOTH;Hake ICES 8c-9a;1995;7.08E+03;1.19E+00;8000;1.05;0.89;1.13
WGBIE-HAKESOTH-1982-2018-ICESIMP2018;HAKESOTH;Hake ICES 8c-9a;1996;8.51E+03;1.16E+00;8000;1.05;1.06;1.1
WGBIE-HAKESOTH-1982-2018-ICESIMP2018;HAKESOTH;Hake ICES 8c-9a;1997;6.48E+03;1.18E+00;8000;1.05;0.81;1.12
WGBIE-HAKESOTH-1982-2018-ICESIMP2018;HAKESOTH;Hake ICES 8c-9a;1998;5.71E+03;9.42E-01;8000;1.05;0.71;0.9
WGBIE-HAKESOTH-1982-2018-ICESIMP2018;HAKESOTH;Hake ICES 8c-9a;1999;7.41E+03;7.92E-01;8000;1.05;0.93;0.75
WGBIE-HAKESOTH-1982-2018-ICESIMP2018;HAKESOTH;Hake ICES 8c-9a;2000;8.68E+03;8.84E-01;8000;1.05;1.09;0.84
WGBIE-HAKESOTH-1982-2018-ICESIMP2018;HAKESOTH;Hake ICES 8c-9a;2001;8.82E+03;8.65E-01;8000;1.05;1.1;0.82
WGBIE-HAKESOTH-1982-2018-ICESIMP2018;HAKESOTH;Hake ICES 8c-9a;2002;9.22E+03;8.24E-01;8000;1.05;1.15;0.78
WGBIE-HAKESOTH-1982-2018-ICESIMP2018;HAKESOTH;Hake ICES 8c-9a;2003;8.99E+03;8.38E-01;8000;1.05;1.12;0.8
WGBIE-HAKESOTH-1982-2018-ICESIMP2018;HAKESOTH;Hake ICES 8c-9a;2004;8.99E+03;7.31E-01;8000;1.05;1.12;0.7
WGBIE-HAKESOTH-1982-2018-ICESIMP2018;HAKESOTH;Hake ICES 8c-9a;2005;9.36E+03;7.78E-01;8000;1.05;1.17;0.74
WGBIE-HAKESOTH-1982-2018-ICESIMP2018;HAKESOTH;Hake ICES 8c-9a;2006;1.07E+04;8.98E-01;8000;1.05;1.34;0.86
WGBIE-HAKESOTH-1982-2018-ICESIMP2018;HAKESOTH;Hake ICES 8c-9a;2007;1.25E+04;9.58E-01;8000;1.05;1.56;0.91
WGBIE-HAKESOTH-1982-2018-ICESIMP2018;HAKESOTH;Hake ICES 8c-9a;2008;1.23E+04;9.30E-01;8000;1.05;1.54;0.89
WGBIE-HAKESOTH-1982-2018-ICESIMP2018;HAKESOTH;Hake ICES 8c-9a;2009;1.42E+04;9.67E-01;8000;1.05;1.78;0.92
WGBIE-HAKESOTH-1982-2018-ICESIMP2018;HAKESOTH;Hake ICES 8c-9a;2010;1.41E+04;7.30E-01;8000;1.05;1.76;0.7
WGBIE-HAKESOTH-1982-2018-ICESIMP2018;HAKESOTH;Hake ICES 8c-9a;2011;1.69E+04;8.30E-01;8000;1.05;2.11;0.79
WGBIE-HAKESOTH-1982-2018-ICESIMP2018;HAKESOTH;Hake ICES 8c-9a;2012;1.60E+04;8.23E-01;8000;1.05;2;0.78
WGBIE-HAKESOTH-1982-2018-ICESIMP2018;HAKESOTH;Hake ICES 8c-9a;2013;1.43E+04;7.03E-01;8000;1.05;1.79;0.67
WGBIE-HAKESOTH-1982-2018-ICESIMP2018;HAKESOTH;Hake ICES 8c-9a;2014;1.72E+04;7.84E-01;8000;1.05;2.15;0.75
WGBIE-HAKESOTH-1982-2018-ICESIMP2018;HAKESOTH;Hake ICES 8c-9a;2015;1.55E+04;6.87E-01;8000;1.05;1.94;0.65
WGBIE-HAKESOTH-1982-2018-ICESIMP2018;HAKESOTH;Hake ICES 8c-9a;2016;1.65E+04;6.67E-01;8000;1.05;2.06;0.64
WGBIE-HAKESOTH-1982-2018-ICESIMP2018;HAKESOTH;Hake ICES 8c-9a;2017;2.00E+04;4.40E-01;8000;1.05;2.5;0.42
WGBIE-HAKESOTH-1982-2018-ICESIMP2018;HAKESOTH;Hake ICES 8c-9a;2018;2.39E+04;;8000;1.05;2.99;0
