"SPECIES","DIMENSION","STOCK","Eco_Res_Index"
"Atlantic cod","ecological","CODBA2532",0.623589936227341
"Atlantic cod","ecological","CODFAPL",0.567114319876642
"Atlantic cod","ecological","CODICE",0.741072487094251
"Atlantic cod","ecological","CODIIIaW",0.52602573678199
"Atlantic cod","ecological","CODIS",0.461997933200928
"Atlantic cod","ecological","CODKAT",0.530997909090393
"Atlantic cod","ecological","CODNEAR",0.598425372816771
"Atlantic cod","ecological","CODNEARNCW",0.497137939964318
"Atlantic cod","ecological","CODVIa",0.441607730385284
"European hake","ecological","HAKENRTN",0.585447175455072
"European hake","ecological","HAKESOTH",0.573721405140794
