SPECIES;COUNTRIES;STOCK;SPgear;ICESareas5;ICESareasEU;Stockdep.sp;Stockdep.total;Research;Management;;;
Atlantic cod;IE;CODVIa;18;NA;NA;0.0344;0;8480;5839;;;
Atlantic cod;LT;CODBA2532;10;1.2;0.22;0.0739;0;528;5910;;;
Atlantic cod;LT;CODFAPL;10;1.2;0.22;0;0;528;5910;;;
Atlantic cod;LT;CODICE;10;1.2;0.22;0;0;528;5910;;;
Atlantic cod;LT;CODIIIaW;10;1.2;0.22;0;0;528;5910;;;
Atlantic cod;LT;CODIS;10;1.2;0.22;0;0;528;5910;;;
Atlantic cod;LT;CODKAT;10;1.2;0.22;0;0.0429;528;5910;;;
Atlantic cod;LT;CODNEARNCW_CODNEAR;10;1.2;0.22;0;0;528;5910;;;
Atlantic cod;LT;CODVIa;10;1.2;0.22;0;0;528;5910;;;
Atlantic cod;LV;CODBA2532;10;4;2.2;0.2976;0;617;10759;;;
Atlantic cod;LV;CODFAPL;10;4;2.2;0;0;617;10759;;;
Atlantic cod;LV;CODICE;10;4;2.2;0;0;617;10759;;;
Atlantic cod;LV;CODIIIaW;10;4;2.2;0;0;617;10759;;;
Atlantic cod;LV;CODIS;10;4;2.2;0;0;617;10759;;;
Atlantic cod;LV;CODKAT;10;4;2.2;0;0;617;10759;;;
Atlantic cod;LV;CODNEARNCW_CODNEAR;10;4;2.2;0;0;617;10759;;;
Atlantic cod;LV;CODVIa;10;4;2.2;0;0;617;10759;;;
Atlantic cod;NL;CODBA2532;2;5.16;-1.76;0;0;12811;18128;;;
Atlantic cod;NL;CODFAPL;2;5.16;-1.76;0;0;12811;18128;;;
Atlantic cod;NL;CODICE;2;5.16;-1.76;0;0.0182;12811;18128;;;
Atlantic cod;NL;CODIIIaW;2;5.16;-1.76;0;0;12811;18128;;;
Atlantic cod;NL;CODIS;2;5.16;-1.76;0;0;12811;18128;;;
Atlantic cod;NL;CODKAT;2;5.16;-1.76;0.0078;0.0778;12811;18128;;;
Atlantic cod;NL;CODNEARNCW_CODNEAR;2;5.16;-1.76;0;0;12811;18128;;;
Atlantic cod;NL;CODVIa;2;5.16;-1.76;0;0;12811;18128;;;
Atlantic cod;PL;CODBA2532;10;5.22;-1.59;0.4402;0;1431;88672;;;
Atlantic cod;PL;CODFAPL;10;5.22;-1.59;0;0.0097;1431;88672;;;
Atlantic cod;PL;CODICE;10;5.22;-1.59;0;0.0239;1431;88672;;;
Atlantic cod;PL;CODIIIaW;10;5.22;-1.59;0;0;1431;88672;;;
Atlantic cod;PL;CODIS;10;5.22;-1.59;0;0;1431;88672;;;
