SPECIES;STOCK;area2006;area2100;SSBrecent;SSBhistoric;Ftrend;Rtrend;T50;Trange;OverMSY;Status;Recovery
European hake;HAKENRTN;5918472;6210615;-0.035;-0.035;0.002;-2505;5;18;1.63;3;15
European hake;HAKESOTH;5918472;6210615;-0.063;-0.063;0.008;-2055.5;5;18;0.35;0;21
