SPECIES;COUNTRIES;STOCK;Swaps;Norganizations;Above_advice;TAC;Compliance
Atlantic cod;PT;CODNEARNCW_CODNEAR;21;16;-27.410197;2660;24
Atlantic cod;PT;CODFAPL;21;16;-27.410197;0;24
Atlantic cod;PT;CODICE;21;16;-27.410197;NA;24
Atlantic cod;PT;CODIS;21;16;-27.410197;0;24
Atlantic cod;PT;CODKAT_CODIIIaW;21;16;-27.410197;0;24
Atlantic cod;PT;CODVIa;21;16;-27.410197;0;24
European hake;PT;HAKENRTN;21;16;-27.410197;0;24
European hake;PT;HAKESOTH;21;16;-27.410197;4129;24
Atlantic cod;SE;CODBA2532;0;7;1842.97721;11969;24
Atlantic cod;SE;CODNEARNCW_CODNEAR;0;7;1842.97721;0;24
Atlantic cod;SE;CODFAPL;0;7;1842.97721;0;24
Atlantic cod;SE;CODICE;0;7;1842.97721;NA;24
Atlantic cod;SE;CODIS;0;7;1842.97721;0;24
Atlantic cod;SE;CODKAT_CODIIIaW;0;7;1842.97721;33;24
Atlantic cod;SE;CODVIa;0;7;1842.97721;0;24
European hake;SE;HAKENRTN;0;7;13.1177046;215;24
European hake;SE;HAKESOTH;0;7;13.1177046;0;24
European hake;EE;HAKENRTN;NA;7;NA;0;17
European hake;EE;HAKESOTH;NA;7;NA;0;17
European hake;IE;HAKENRTN;NA;5;171.874888;2810;14
European hake;IE;HAKESOTH;NA;5;NA;0;14
European hake;LV;HAKENRTN;NA;4;NA;0;19
European hake;LV;HAKESOTH;NA;4;NA;0;19
European hake;LT;HAKENRTN;NA;3;NA;0;18
European hake;LT;HAKESOTH;NA;3;NA;0;18
European hake;NL;HAKENRTN;NA;11;8.93835531;438;22
European hake;NL;HAKESOTH;NA;11;8.93835531;0;22
European hake;PL;HAKENRTN;NA;15;NA;0;21
European hake;PL;HAKESOTH;NA;15;NA;0;21
European hake;FI;HAKENRTN;NA;NA;NA;0;22
European hake;FI;HAKESOTH;NA;NA;NA;0;22
