ASSESSID;STOCKID;STOCKLONG;TSYEAR;SSB;Fm;SSBLIM;FLIM;comments;SSB/SSBLIM;F/FLIM
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;2003;7.64E+04;1.06E+00;63039;;;1.211948159;
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;2004;7.05E+04;1.22E+00;63040;;;1.118337563;
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;2005;6.22E+04;1.00E+00;63041;;;0.986659476;
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;2006;7.12E+04;9.06E-01;63042;;;1.129405793;
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;2007;7.86E+04;7.71E-01;63043;;;1.246768079;
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;2008;9.97E+04;5.52E-01;63044;;;1.581435188;
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;2009;1.21E+05;4.68E-01;63045;;;1.919264018;
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;2010;1.40E+05;4.22E-01;63046;;;2.220600831;
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;2011;1.32E+05;3.92E-01;63047;;;2.093676146;
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;2012;1.54E+05;3.73E-01;63048;;;2.442583428;
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;2013;1.80E+05;;63049;;;2.854922362;
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;2014;;;63050;;;;
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;2015;;;63051;;;;
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;2016;;;63052;;;;
