SPECIES;STOCK;ABUNDANCE;TEMPERATURE;OVEREXPLOITATION;RECOVERY 
European hake;HAKENRTN;0.6378;0.6429;0.8627;0.6693
European hake;HAKESOTH;0.5;0.6429;0.5;0.5276
