ASSESSID;STOCKID;STOCKLONG;TSYEAR;TBbest;TCbest;ERbest;BdivBmsypref;UdivUmsypref;BdivBmgtpref;UdivUmgtpref;TB;SSB;TN;R;TC;TL;RecC;F;ER;TBdivTBmsy;SSBdivSSBmsy;NdivNmsy;FdivFmsy;ERdivERmsy;CdivMSY;CdivMEANC;TBdivTBmgt;SSBdivSSBmgt;NdivNmgt;FdivFmgt
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;1982;9.91E+05;3.28E+05;;7.199546485;2.65;7.199546485;2.65;9.91E+05;6.35E+05;;3.10E+08;3.28E+05;3.16E+05;;7.95E-01;;;;;2.433333333;;;2.198002276;;7.199546485;;2.65
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;1983;9.41E+05;3.43E+05;;6.916099773;2.48;6.916099773;2.48;9.41E+05;6.10E+05;;2.57E+08;3.43E+05;3.32E+05;;7.44E-01;;;;;2.373333333;;;2.298520673;;6.916099773;;2.48
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;1984;8.46E+05;4.00E+05;;6.734693878;2.796666667;6.734693878;2.796666667;8.46E+05;5.94E+05;;2.66E+08;4.00E+05;3.92E+05;;8.39E-01;;;;;2.966666667;;;2.68049058;;6.734693878;;2.796666667
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;1985;7.22E+05;3.23E+05;;5.986394558;2.763333333;5.986394558;2.763333333;7.22E+05;5.28E+05;;3.03E+08;3.23E+05;3.15E+05;;8.29E-01;;;;;2.443333333;;;2.164496144;;5.986394558;;2.763333333
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;1986;5.32E+05;2.56E+05;;4.274376417;3.326666667;4.274376417;3.326666667;5.32E+05;3.77E+05;;2.06E+08;2.56E+05;2.53E+05;;9.98E-01;;;;;3.633333333;;;1.715513971;;4.274376417;;3.326666667
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;1987;4.83E+05;2.16E+05;;3.662131519;3.126666667;3.662131519;3.126666667;4.83E+05;3.23E+05;;1.22E+08;2.16E+05;2.07E+05;;9.38E-01;;;;;3.066666667;;;1.447464913;;3.662131519;;3.126666667
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;1988;4.39E+05;2.02E+05;;3.287981859;2.96;3.287981859;2.96;4.39E+05;2.90E+05;;9.99E+07;2.02E+05;1.95E+05;;8.88E-01;;;;;2.8;;;1.353647743;;3.287981859;;2.96
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;1989;3.33E+05;1.83E+05;;2.573696145;3.466666667;2.573696145;3.466666667;3.33E+05;2.27E+05;;8.99E+07;1.83E+05;1.79E+05;;1.04E+00;;;;;3.833333333;;;1.226324441;;2.573696145;;3.466666667
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;1990;2.57E+05;1.58E+05;;2.346938776;4;2.346938776;4;2.57E+05;2.07E+05;;1.36E+08;1.58E+05;1.54E+05;;1.20E+00;;;;;4.133333333;;;1.058793779;;2.346938776;;4
WGBFAS-CODBA2532-1965-2017-ICESIMP2018;CODBA2532;Atlantic cod Eastern Baltic;1991;1.84E+05;1.25E+05;;1.541950113;4.5;1.541950113;4.5;1.84E+05;1.36E+05;;1.73E+08;1.25E+05;1.23E+05;;1.35E+00;;;;;4.666666667;;;0.837653306;;1.541950113;;4.5
