SPECIES;COUNTRIES;STOCK;HDI;Swaps;Norganizations;Above_advice;TAC;Compliance
Atlantic cod;NL;CODIS;0.924;22;12;241.3609267;1;22
Atlantic cod;NL;CODKAT_CODNS;0.924;22;12;241.3609267;2800;22
Atlantic cod;NL;CODVIa;0.924;22;12;241.3609267;0;22
Atlantic cod;PL;CODBA2532;0.855;8;11;1158.497021;13603;21
Atlantic cod;PL;CODCOASTNOR_CODNEAR;0.855;8;11;1158.497021;2728;21
Atlantic cod;PL;CODFAPL;0.855;8;11;1158.497021;0;21
Atlantic cod;PL;CODICE;0.855;8;11;1158.497021;NA;21
Atlantic cod;PL;CODIS;0.855;8;11;1158.497021;0;21
Atlantic cod;PL;CODKAT_CODNS;0.855;8;11;1158.497021;0;21
Atlantic cod;PL;CODVIa;0.855;8;11;1158.497021;0;21
Atlantic cod;PT;CODBA2532;0.843;21;15;-27.41019699;0;24
Atlantic cod;PT;CODCOASTNOR_CODNEAR;0.843;21;15;-27.41019699;2660;24
Atlantic cod;PT;CODFAPL;0.843;21;15;-27.41019699;0;24
Atlantic cod;PT;CODICE;0.843;21;15;-27.41019699;NA;24
Atlantic cod;PT;CODIS;0.843;21;15;-27.41019699;0;24
Atlantic cod;PT;CODKAT_CODNS;0.843;21;15;-27.41019699;0;24
Atlantic cod;PT;CODVIa;0.843;21;15;-27.41019699;0;24
European hake;PT;HAKENRTN;0.843;21;15;-27.41019699;0;24
European hake;PT;HAKESOTH;0.843;21;15;-27.41019699;4129;24
Atlantic cod;SE;CODBA2532;0.913;0;6;1842.977205;11969;24
Atlantic cod;SE;CODCOASTNOR_CODNEAR;0.913;0;6;1842.977205;0;24
Atlantic cod;SE;CODFAPL;0.913;0;6;1842.977205;0;24
Atlantic cod;SE;CODICE;0.913;0;6;1842.977205;NA;24
Atlantic cod;SE;CODIS;0.913;0;6;1842.977205;0;24
Atlantic cod;SE;CODKAT_CODNS;0.913;0;6;1842.977205;33;24
Atlantic cod;SE;CODVIa;0.913;0;6;1842.977205;0;24
European hake;SE;HAKENRTN;0.913;0;6;13.11770458;215;24
European hake;SE;HAKESOTH;0.913;0;6;13.11770458;0;24
European hake;EE;HAKENRTN;NA;NA;NA;NA;0;17
European hake;EE;HAKESOTH;NA;NA;NA;NA;0;17
European hake;IE;HAKENRTN;NA;NA;NA;171.8748883;2810;14
European hake;IE;HAKESOTH;NA;NA;NA;NA;0;14
European hake;LV;HAKENRTN;NA;NA;NA;NA;0;19
European hake;LV;HAKESOTH;NA;NA;NA;NA;0;19
European hake;LT;HAKENRTN;NA;NA;NA;NA;0;18
European hake;LT;HAKESOTH;NA;NA;NA;NA;0;18
European hake;NL;HAKENRTN;NA;NA;NA;8.938355311;438;22
European hake;NL;HAKESOTH;NA;NA;NA;8.938355311;0;22
European hake;PL;HAKENRTN;NA;NA;NA;NA;0;21
European hake;PL;HAKESOTH;NA;NA;NA;NA;0;21
European hake;FI;HAKENRTN;NA;NA;NA;NA;0;22
European hake;FI;HAKESOTH;NA;NA;NA;NA;0;22
