ASSESSID;STOCKID;STOCKLONG;TSYEAR;TBbest;TCbest;ERbest;BdivBmsypref;UdivUmsypref;BdivBmgtpref;UdivUmgtpref;TB;SSB;TN;R;TC;TL;RecC;F;ER;TBdivTBmsy;SSBdivSSBmsy;NdivNmsy;FdivFmsy;ERdivERmsy;CdivMSY;CdivMEANC;TBdivTBmgt;SSBdivSSBmgt;NdivNmgt;FdivFmgt
WGBIE-HAKENRTN-1978-2018-ICESIMP2018;HAKENRTN;Hake ICES 3a-4-6-7-8abd;1994;5.26E+04;5.16E+04;0.980988593;0.677777778;3.785714286;0.677777778;3.785714286;5.26E+04;3.05E+04;;2.88E+08;5.16E+04;5.13E+04;;1.06E+00;0.980988593;;;;3.785714286;;;0.835729036;;0.677777778;;3.785714286
WGBIE-HAKENRTN-1978-2018-ICESIMP2018;HAKENRTN;Hake ICES 3a-4-6-7-8abd;1995;5.87E+04;5.76E+04;0.981260647;0.657777778;4;0.657777778;4;5.87E+04;2.96E+04;;1.48E+08;5.76E+04;5.76E+04;;1.12E+00;0.981260647;;;;4;;;0.932906831;;0.657777778;;4
WGBIE-HAKENRTN-1978-2018-ICESIMP2018;HAKENRTN;Hake ICES 3a-4-6-7-8abd;1996;5.41E+04;4.72E+04;0.87245841;0.773333333;3.464285714;0.773333333;3.464285714;5.41E+04;3.48E+04;;3.63E+08;4.72E+04;4.72E+04;;9.70E-01;0.87245841;;;;3.464285714;;;0.76446532;;0.773333333;;3.464285714
WGBIE-HAKENRTN-1978-2018-ICESIMP2018;HAKENRTN;Hake ICES 3a-4-6-7-8abd;1997;4.66E+04;4.25E+04;0.912017167;0.668888889;3.785714286;0.668888889;3.785714286;4.66E+04;3.01E+04;;2.55E+08;4.25E+04;4.25E+04;;1.06E+00;0.912017167;;;;3.785714286;;;0.688342714;;0.668888889;;3.785714286
WGBIE-HAKENRTN-1978-2018-ICESIMP2018;HAKENRTN;Hake ICES 3a-4-6-7-8abd;1998;4.42E+04;3.51E+04;0.794117647;0.542222222;3.5;0.542222222;3.5;4.42E+04;2.44E+04;;4.22E+08;3.51E+04;3.51E+04;;9.80E-01;0.794117647;;;;3.5;;;0.5684901;;0.542222222;;3.5
WGBIE-HAKENRTN-1978-2018-ICESIMP2018;HAKENRTN;Hake ICES 3a-4-6-7-8abd;1999;4.85E+04;4.02E+04;0.828865979;0.615555556;3.464285714;0.615555556;3.464285714;4.85E+04;2.77E+04;;2.07E+08;4.02E+04;3.98E+04;;9.70E-01;0.828865979;;;;3.464285714;;;0.651091226;;0.615555556;;3.464285714
WGBIE-HAKENRTN-1978-2018-ICESIMP2018;HAKENRTN;Hake ICES 3a-4-6-7-8abd;2000;5.40E+04;4.21E+04;0.77962963;0.68;3.25;0.68;3.25;5.40E+04;3.06E+04;;1.88E+08;4.21E+04;4.20E+04;;9.10E-01;0.77962963;;;;3.25;;;0.681864194;;0.68;;3.25
WGBIE-HAKENRTN-1978-2018-ICESIMP2018;HAKENRTN;Hake ICES 3a-4-6-7-8abd;2001;5.40E+04;3.67E+04;0.67962963;0.806666667;2.678571429;0.806666667;2.678571429;5.40E+04;3.63E+04;;3.47E+08;3.67E+04;3.67E+04;;7.50E-01;0.67962963;;;;2.678571429;;;0.594404179;;0.806666667;;2.678571429
WGBIE-HAKENRTN-1978-2018-ICESIMP2018;HAKENRTN;Hake ICES 3a-4-6-7-8abd;2002;5.70E+04;4.01E+04;0.703508772;0.828888889;2.892857143;0.828888889;2.892857143;5.70E+04;3.73E+04;;2.74E+08;4.01E+04;4.01E+04;;8.10E-01;0.703508772;;;;2.892857143;;;0.649471596;;0.828888889;;2.892857143
WGBIE-HAKENRTN-1978-2018-ICESIMP2018;HAKENRTN;Hake ICES 3a-4-6-7-8abd;2003;6.21E+04;4.53E+04;0.729468599;0.837777778;2.928571429;0.837777778;2.928571429;6.21E+04;3.77E+04;;1.61E+08;4.53E+04;4.32E+04;;8.20E-01;0.729468599;;;;2.928571429;;;0.733692351;;0.837777778;;2.928571429
