Country;Species;Division;Factor;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010
France;European hake;VII a;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;631;696;452;681;589;124;1323;496;692;551;374;267;165;119;176;240;1346;278;262;237;168;187;-;-;-;61;29;16;6;4;4;4;.;8;3;4;3;1;5;2;1;1;.;.
France;European hake;VII a-f  (not specified);2;642;-;611;1319;650;649;356;841;933;948;924;576;979;1087;428;1008;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;-;-;-;-;-;-;.;.;.;.;.
France;European hake;VII b;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;526;100;175;347;382;-;-;-;-;338;339;387;332;-;-;-;32;20;28;24;26;36;20;.;301;171;199;228;107;137;280;305;268;389;253
France;European hake;VII b+c  (not specified);2;596;495;1059;28;281;-;190;980;2252;2600;1032;2089;2707;1508;1670;1731;-;1173;1404;1164;3044;1124;878;1171;544;751;-;-;-;-;-;604;369;491;825;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;-;-;-;-;-;-;-;.;.;.;.
France;European hake;VII c (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;95;104;38;69;58;-;-;-;-;62;65;78;146;-;-;-;37;49;33;81;69;34;16;.;207;312;440;514;296;243;438;747;732;424;937
France;European hake;VII d;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;156;23;9;4;2;2326;13;36;25;6;22;3;7;4;4;-;-;-;4;2;1;1;2;9;6;.;14;22;42;9;6;8;14;11;11;27;26
France;European hake;VII d+e (not specified);2;74;414;600;280;399;508;928;958;334;384;922;780;1452;1074;1200;1034;-;1192;409;818;547;-;2781;718;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;-;-;-;-;-;-;-;.;.;.;.
France;European hake;VII e;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1411;1577;1235;1071;908;788;868;984;1009;942;834;620;736;822;1185;-;-;-;503;280;307;185;203;193;171;.;265;269;363;252;250;248;123;106;80;127;114
France;European hake;VII f;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;145;163;144;794;698;644;1704;1423;2030;1197;1746;2104;3013;3331;2703;1681;873;397;483;463;551;-;-;-;296;262;169;77;113;102;90;.;139;164;199;89;114;172;65;60;54;47;110
France;European hake;VII g;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2892;1970;1591;1691;2269;-;-;-;-;1778;1367;1304;1624;-;-;-;797;685;402;337;293;207;248;.;502;435;363;360;406;484;189;205;166;137;272
France;European hake;VII g-k  (not specified);2;11573;10495;12101;13722;12425;14770;12541;14004;15721;14831;8031;14534;14280;11275;8010;7939;-;6645;5180;5268;5336;6556;4316;6875;7483;6518;-;-;-;-;-;4091;3382;2567;3465;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;-;-;-;-;-;-;-;.;.;.;.
France;European hake;VII h;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2459;1237;2491;1505;1279;-;-;-;-;772;861;855;1226;-;-;-;542;363;379;556;366;326;246;.;731;649;486;652;761;975;345;182;150;288;350
France;European hake;VII j (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;567;74;115;254;482;-;-;-;-;392;559;530;453;-;-;-;207;84;153;462;559;343;112;.;1459;1317;2743;1825;2678;2355;2745;2860;2791;2802;1996
France;European hake;VII k (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;2;<0.5;-;-;-;-;-;27;24;35;29;-;-;-;33;38;39;218;280;186;54;.;460;779;1016;825;1069;1335;1124;692;696;968;664
France;European hake;VIII (not specified);1;5486;6478;5832;5771;4416;5535;7825;8410;9393;10494;11161;12255;14816;12416;13049;10675;5544;11039;10205;8829;12761;13106;12576;11269;7298;7890;-;-;-;-;-;10878;6769;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;683;472;993;47;10;38;5;-;.;.;.
France;European hake;VIII a;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3571;5426;5918;7236;8334;-;-;6867;5684;10372;7681;8254;10604;13663;12977;15591;8409;7477;10035;9118;5008;5642;3439;.;3751;1998;2613;4848;3760;4316;2966;3154;2068;6389;7805
France;European hake;VIII b;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;702;1143;2805;3481;4452;-;-;3926;3547;4592;4901;3329;3210;-;-;-;2875;1799;2042;2649;1115;1082;411;.;613;510;1009;872;753;1607;836;1436;990;2325;2584
France;European hake;VIII c;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;572;-;76;14;1;-;-;-;-;1;7;20;28;15;2;16;19;4;6;39;21;14;7;.;42;61;89;44;62;201;154;191;191;335;391
France;European hake;VIII d (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;12;23;11;-;-;-;119;109;65;109;59;34;25;.;78;59;68;17;60;130;163;296;292;224;140
France;European hake;VIII e (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;6;6;20;28;-;-;.;7;7;27;22;10;-;-;1;.;.;1
France;European hake;X (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;<0.5;11;27;26;1;-;-;.;.;.;.
France;European hake;X a (not specified);1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;4
France;European hake;XII (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;4;4;4;.;3;1;6;2;-;-;-;.;.;.;.
France;European hake;XII a (not specified);1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;-;52;52;1;.
