Country;Species;Division;Factor;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010
Denmark;Atlantic cod;IV b;1;7858;7208;10608;12458;12276;15723;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;41456;37077;40598;29652;-;-;-;-;-;-;-;-;19287;30039;28540;20910;17397;15827;15489;16695;16260;20989;20284;19077;19132;16049;10537;6547;6967;3243;4887;5202;4183;2714;3038;3298;3988
Denmark;Atlantic cod;IV c;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;734;562;50;586;-;-;-;-;-;-;-;-;3054;2573;3104;2418;1297;716;442;337;220;295;421;253;732;899;421;126;62;18;7;10;8;1;1;4;19
Denmark;Atlantic cod;IX (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.;.
Denmark;Atlantic cod;V a (South-West);1;267;45;16;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.;.;.
Denmark;Atlantic cod;V b (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.;.
Denmark;Atlantic cod;V b1 (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;30;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.;.
Denmark;Atlantic cod;VI (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;27;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.;.
Denmark;Atlantic cod;VI a;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;3;-;-;-;-;4;1;2;2;2;3;2;<0.5;4;2;-;-;<0.5;-;-;-;-;-;-;-;.;.;.;.
Denmark;Atlantic cod;VII a;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.;.
Denmark;Atlantic cod;VII b+c  (not specified);2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.;.
Denmark;Atlantic cod;VII d;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;<0.5;<0.5;-;-;1;-;9;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.;.
Denmark;Atlantic cod;VII d+e (not specified);2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2718;1506;1120;2160;2052;660;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.;.
Denmark;Atlantic cod;VII e;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;<0.5;<0.5;<0.5;5;-;<0.5;-;2;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.;.
Denmark;Atlantic cod;VII g;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;<0.5;-;-;<0.5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.;.
Denmark;Atlantic cod;VII g-k  (not specified);2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;<0.5;<0.5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.;.
Denmark;Atlantic cod;VIII (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;856;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.;.
Denmark;Atlantic cod;VIII d (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;.;.;.;.
