Country;Species;Division;Factor;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010
France;Atlantic cod;VI b (not specified);1;-;-;-;-;-;86;-;-;-;-;-;100;150;527;900;1116;1514;2177;620;2372;745;-;1659;320;1128;4;4;3;1;2;1;4;27;97;9;17;5;7;2;-;-;-;-;-;-;-;-;-;-;.;<0.5;-;<0.5;<0.5;-;-;-;.;.;.;.
France;Atlantic cod;VII (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13610;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;2;-;-;-;-;3;2;2;1;.;.
France;Atlantic cod;VII a;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6290;1044;563;1282;-;2024;2507;2601;2623;1938;1370;1022;1125;1009;1178;1066;815;912;1782;1480;1717;2406;352;201;320;927;686;208;166;148;268;269;.;53;74;116;151;29;35;18;17;15;1;1
France;Atlantic cod;VII a-f  (not specified);2;.;-;-;309;-;-;2;50;765;448;213;279;289;548;836;1634;-;-;-;-;-;2575;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;-;-;-;-;-;-;.;.;.;.;.
France;Atlantic cod;VII b;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;321;130;206;201;564;-;-;-;-;340;245;548;401;-;-;-;208;63;115;46;87;44;22;.;31;24;46;30;7;6;7;12;9;4;11
France;Atlantic cod;VII b+c  (not specified);2;10;6;15;126;468;91;360;546;735;1584;910;878;952;1401;1878;2852;-;1246;2009;4276;1889;1188;589;453;284;365;-;-;-;-;-;841;587;645;435;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;-;-;-;-;-;-;-;.;.;.;.
France;Atlantic cod;VII c (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;13;50;2;21;-;-;-;-;41;767;43;190;-;-;-;15;55;40;45;28;27;22;.;13;14;8;3;6;7;3;6;5;1;6
France;Atlantic cod;VII d;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2515;1397;1083;4406;6793;3998;3203;3707;2696;2802;2492;2589;9938;7541;8795;-;-;-;2079;1771;2338;3261;2808;6387;7788;.;3084;1677;1361;1730;810;986;1124;1743;1326;1779;1606
France;Atlantic cod;VII d+e (not specified);2;18;71;363;190;43;159;637;765;770;179;202;141;175;130;602;2276;-;2539;3595;3501;2139;4544;2658;1425;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;-;-;-;-;-;-;-;.;.;.;.
France;Atlantic cod;VII e;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;584;746;563;779;1251;850;798;779;653;567;390;359;1305;1122;1758;-;-;-;487;459;494;746;693;751;1190;.;631;626;646;673;211;282;407;493;402;680;514
France;Atlantic cod;VII f;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;341;289;285;-;314;589;421;638;702;437;818;872;1544;2135;1530;1088;965;634;1319;1025;2255;-;-;-;1324;1726;1622;1167;1327;1725;1574;.;721;1013;1967;731;339;250;281;296;277;101;205
France;Atlantic cod;VII g;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2650;1651;1749;2372;3492;-;-;-;-;4603;5807;5839;7500;27342;16366;8807;4312;5738;5031;5295;5351;4623;3609;.;2371;2747;1140;2813;1343;856;946;1364;1087;825;657
France;Atlantic cod;VII g-k  (not specified);2;591;565;500;734;721;1242;1749;2478;2113;1223;1053;999;814;1078;1988;2769;-;3409;2975;3617;2431;4382;3579;2338;2018;2512;-;-;-;-;-;5962;4454;4023;4446;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;-;-;-;-;-;-;-;.;.;.;.
France;Atlantic cod;VII h;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;169;156;177;225;151;-;-;-;-;472;439;413;1582;-;-;-;907;756;661;1125;1290;1306;895;.;616;886;848;709;394;284;299;395;283;449;441
France;Atlantic cod;VII j (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;46;22;9;118;247;-;-;-;-;258;145;208;372;-;-;-;195;117;114;186;168;91;107;.;80;165;201;71;23;32;46;84;75;24;34
France;Atlantic cod;VII k (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;<0.5;1;<0.5;-;-;-;-;-;4;3;2;6;-;-;-;4;6;3;6;2;8;25;.;20;21;11;15;-;2;1;1;1;1;.
France;Atlantic cod;VIII (not specified);1;3180;2;5;-;-;-;-;-;-;-;100;90;60;60;101;198;213;155;-;-;-;-;-;109;1;1;-;-;-;-;-;27;18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;23;112;152;-;-;-;-;.;.;.;.
France;Atlantic cod;VIII a;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;6;4;-;-;-;17;18;117;58;265;-;-;-;41;30;32;46;57;119;273;.;97;127;117;391;193;21;24;34;10;49;67
France;Atlantic cod;VIII b;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;1;-;-;-;-;-;-;-;-;13;18;.;7;29;58;3;3;1;-;1;-;43;56
France;Atlantic cod;VIII d (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;1;2;-;-;-;5;22;-;2;1;1;3;.;2;3;3;1;-;2;2;1;-;2;5
France;Atlantic cod;VIII e (not specified);1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;.;.;.
France;Atlantic cod;X a (not specified);1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2;1
France;Atlantic cod;XII (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;848;-;2;-;-;-;-;.;1;-;-;-;-;-;-;.;.;.;.
France;Atlantic cod;XII a (not specified);1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2;2;.;1
