Country;Species;Division;Factor;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010
Spain;European hake;VII e;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;47;42;1;33;-;-;-;<0.5;-;-;-;-;-;-;-;5;.;.;<0.5;-
Spain;European hake;VII f;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;143;50;-;<0.5;17;-;-;<0.5;-;5;4;.;.;.;.
Spain;European hake;VII g;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21;16;47;37;12;6;<0.5;46;1;<0.5;17;69;25;-;7;14;15;20;7;24;7;10
Spain;European hake;VII g-k  (not specified);2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21000;-;-;-;-;-;5940;18260;17993;19944;18587;19110;3710;4114;4500;2180;1876;2152;1942;2200;2301;3627;4551;5229;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;.;.;.
Spain;European hake;VII h;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1302;1247;1123;1272;990;787;2034;1110;798;591;532;782;422;269;990;1141;626;543;116;375;365;355
Spain;European hake;VII j (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4282;2988;4302;5955;5281;6010;7350;5505;7173;7210;7774;6881;3982;4917;5040;6447;6621;4306;3331;4877;4195;6032
Spain;European hake;VII k (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1067;822;1030;1612;2948;1435;2450;1887;951;977;1836;1661;960;591;1499;1445;915;623;1107;1651;1217;744
Spain;European hake;VIII (not specified);1;43100;52729;44325;35057;35542;44377;32503;36591;34446;36565;39357;40640;32037;39336;34009;7130;27459;31570;32164;27103;34320;13980;16340;15597;18532;17980;20202;16630;6590;16718;15061;16353;14811;14836;26240;16302;17075;14030;13630;-;-;-;-;-;-;-;-;-;-;22;-;-;-;-;-;-;-;.;.;1;.
Spain;European hake;VIII a;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3729;3922;4682;4534;4064;3849;3693;3871;3757;4053;3913;4933;1286;1596;1489;3835;3637;3435;1316;1962;2085;3014
Spain;European hake;VIII b;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2946;3078;3368;2827;2342;2416;4593;1770;2679;2286;2553;1992;949;802;1139;2344;2149;3145;2085;3857;2680;1919
Spain;European hake;VIII c;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3684;3405;3868;3100;2225;2008;2923;2009;2248;2137;2279;2872;1969;2630;3723;2932;2997;3165;2851;3304;3450;4373
Spain;European hake;VIII d (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;166;111;80;127;112;112;242;273;246;191;144;89;289;482;1065;1074;332;566;.;.
Spain;European hake;VIII d1;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;431;778
Spain;European hake;VIII e (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8;8;6;<0.5;<0.5;-;-;-;-;-;-;-;2;-;2;-;.;.;.
Spain;European hake;VIII e1;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;12;1
Spain;European hake;X (not specified);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1596;204;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;7;-;-;-;-;-;-;-;-;-;.;.;.;-
Spain;European hake;XII (not specified);1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;<0.5;.;.
